# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2710 2710
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 0 920 232 232
p 2 0 690 230 2555 830
p 2 0 230 690 1014 439
p 2 0 736 184 2579 854
p 2 0 0 920 232 232
p 2 0 23 897 275 252
p 2 0 919 1 3360 1058
p 2 0 99 821 299 299
p 2 0 690 230 2555 830
p 2 0 444 476 1274 598
p 2 0 693 227 2487 864
p 2 0 154 766 351 351
p 2 0 690 230 2556 831
p 2 0 155 765 564 369
p 2 0 672 248 2528 925
p 2 0 920 0 3673 1158
p 2 0 124 796 455 357
p 2 30 659 231 3761 1027
p 2 148 772 0 4311 1668
p 2 326 317 277 3415 1874
p 2 309 387 224 5063 2018
p 2 236 649 35 7392 2172
p 2 190 508 222 8115 2059
p 2 161 525 234 8829 1996
p 2 88 604 228 9085 1962
p 2 97 596 227 9578 1923
p 2 57 651 212 10309 1959
p 2 55 637 228 10660 1909
p 2 30 691 199 10351 1915
p 2 28 668 224 10525 1824
p 2 24 694 202 11196 1936
p 2 40 663 217 12070 1913
p 2 16 704 200 11274 1895
p 2 23 693 204 11545 1833
p 2 17 702 201 11580 1901
p 2 24 686 210 12134 1865
p 2 13 709 198 12311 1909
p 2 13 706 201 11599 1784
p 2 12 703 205 12322 1821
p 2 9 703 208 11713 1735
p 2 5 714 201 12176 1801
p 2 13 705 202 12174 1760
p 2 9 707 204 12481 1814
p 2 25 694 201 13738 1838
p 2 0 725 195 12180 1766
p 2 13 702 205 12654 1742
p 2 6 716 198 13020 1798
